Code,Longitude,Latitude,County,State,City,Name,ID2,ID,Depart,
ABE,-75.44040167,40.65236278,USA,PA,Allentown,Lehigh Valley International,0.5,1,0,0
ATL,-84.42694444,33.64044444,USA,GA,Atlanta,William B Hartsfield-Atlanta Intl,1,1,1,1
ABE,-75.44040167,40.65236278,USA,PA,Allentown,Lehigh Valley International,1.5,2,0,0
BHM,-86.75354972,33.56294306,USA,AL,Birmingham,Birmingham International,2,2,1,0
ABE,-75.44040167,40.65236278,USA,PA,Allentown,Lehigh Valley International,2.5,3,0,0
CLE,-81.84939667,41.41089417,USA,OH,Cleveland,Cleveland-Hopkins Intl,3,3,1,0
ABE,-75.44040167,40.65236278,USA,PA,Allentown,Lehigh Valley International,3.5,4,0,0
CLT,-80.94312583,35.21401111,USA,NC,Charlotte,Charlotte/Douglas International,4,4,1,0
ABE,-75.44040167,40.65236278,USA,PA,Allentown,Lehigh Valley International,4.5,5,0,0
CVG,-84.6621725,39.04614278,USA,KY,Covington,Cincinnati Northern Kentucky Intl,5,5,1,0
ABE,-75.44040167,40.65236278,USA,PA,Allentown,Lehigh Valley International,5.5,6,0,0
DTW,-83.34883583,42.21205889,USA,MI,Detroit,Detroit Metropolitan-Wayne County,6,6,1,0
ABE,-75.44040167,40.65236278,USA,PA,Allentown,Lehigh Valley International,6.5,7,0,0
JFK,-73.77892556,40.63975111,USA,NY,New York,John F Kennedy Intl,7,7,1,0
ABE,-75.44040167,40.65236278,USA,PA,Allentown,Lehigh Valley International,7.5,8,0,0
LGA,-73.87260917,40.77724306,USA,NY,New York,LaGuardia,8,8,1,0
ABE,-75.44040167,40.65236278,USA,PA,Allentown,Lehigh Valley International,8.5,9,0,0
ORD,-87.90446417,41.979595,USA,IL,Chicago,Chicago O'Hare International,9,9,1,0
ABE,-75.44040167,40.65236278,USA,PA,Allentown,Lehigh Valley International,9.5,10,0,0
PHL,-75.24114083,39.87195278,USA,PA,Philadelphia,Philadelphia Intl,10,10,1,0
ABI,-99.68189722,32.41132,USA,TX,Abilene,Abilene Regional,10.5,11,0,0
DFW,-97.0372,32.89595056,USA,TX,Dallas-Fort Worth,Dallas-Fort Worth International,11,11,1,0
ABQ,-106.6091944,35.04022222,USA,NM,Albuquerque,Albuquerque International,11.5,12,0,0
AMA,-101.7059272,35.2193725,USA,TX,Amarillo,Amarillo International,12,12,1,0
ABQ,-106.6091944,35.04022222,USA,NM,Albuquerque,Albuquerque International,12.5,13,0,0
ATL,-84.42694444,33.64044444,USA,GA,Atlanta,William B Hartsfield-Atlanta Intl,13,13,1,0
ABQ,-106.6091944,35.04022222,USA,NM,Albuquerque,Albuquerque International,13.5,14,0,0
AUS,-97.66987194,30.19453278,USA,TX,Austin,Austin-Bergstrom International,14,14,1,0
ABQ,-106.6091944,35.04022222,USA,NM,Albuquerque,Albuquerque International,14.5,15,0,0
BWI,-76.66819833,39.17540167,USA,MD,Baltimore,Baltimore-Washington International,15,15,1,0
ABQ,-106.6091944,35.04022222,USA,NM,Albuquerque,Albuquerque International,15.5,16,0,0
CLE,-81.84939667,41.41089417,USA,OH,Cleveland,Cleveland-Hopkins Intl,16,16,1,0
ABQ,-106.6091944,35.04022222,USA,NM,Albuquerque,Albuquerque International,16.5,17,0,0
CVG,-84.6621725,39.04614278,USA,KY,Covington,Cincinnati Northern Kentucky Intl,17,17,1,0
ABQ,-106.6091944,35.04022222,USA,NM,Albuquerque,Albuquerque International,17.5,18,0,0
DAL,-96.85177222,32.84711389,USA,TX,Dallas,Dallas Love,18,18,1,0
ABQ,-106.6091944,35.04022222,USA,NM,Albuquerque,Albuquerque International,18.5,19,0,0
DEN,-104.6670019,39.85840806,USA,CO,Denver,Denver Intl,19,19,1,0
ABQ,-106.6091944,35.04022222,USA,NM,Albuquerque,Albuquerque International,19.5,20,0,0
DFW,-97.0372,32.89595056,USA,TX,Dallas-Fort Worth,Dallas-Fort Worth International,20,20,1,0
ABQ,-106.6091944,35.04022222,USA,NM,Albuquerque,Albuquerque International,20.5,21,0,0
ELP,-106.3778056,31.80666667,USA,TX,El Paso,El Paso International,21,21,1,0
ABQ,-106.6091944,35.04022222,USA,NM,Albuquerque,Albuquerque International,21.5,22,0,0
EWR,-74.16866056,40.69249722,USA,NJ,Newark,Newark Intl,22,22,1,0
ABQ,-106.6091944,35.04022222,USA,NM,Albuquerque,Albuquerque International,22.5,23,0,0
HOU,-95.27888889,29.64541861,USA,TX,Houston,William P Hobby,23,23,1,0
ABQ,-106.6091944,35.04022222,USA,NM,Albuquerque,Albuquerque International,23.5,24,0,0
IAD,-77.45580972,38.94453194,USA,VA,Chantilly,Washington Dulles International,24,24,1,0
ABQ,-106.6091944,35.04022222,USA,NM,Albuquerque,Albuquerque International,24.5,25,0,0
IAH,-95.33972222,29.98047222,USA,TX,Houston,George Bush Intercontinental,25,25,1,0
ABQ,-106.6091944,35.04022222,USA,NM,Albuquerque,Albuquerque International,25.5,26,0,0
LAS,-115.1523333,36.08036111,USA,NV,Las Vegas,McCarran International,26,26,1,0
ABQ,-106.6091944,35.04022222,USA,NM,Albuquerque,Albuquerque International,26.5,27,0,0
LAX,-118.4080744,33.94253611,USA,CA,Los Angeles,Los Angeles International,27,27,1,0
ABQ,-106.6091944,35.04022222,USA,NM,Albuquerque,Albuquerque International,27.5,28,0,0
LBB,-101.8227778,33.66363889,USA,TX,Lubbock,Lubbock International,28,28,1,0
ABQ,-106.6091944,35.04022222,USA,NM,Albuquerque,Albuquerque International,28.5,29,0,0
MAF,-102.2019139,31.94252778,USA,TX,Midland,Midland International,29,29,1,0
ABQ,-106.6091944,35.04022222,USA,NM,Albuquerque,Albuquerque International,29.5,30,0,0
MCI,-94.71390556,39.29760528,USA,MO,Kansas City,Kansas City International,30,30,1,0
ABQ,-106.6091944,35.04022222,USA,NM,Albuquerque,Albuquerque International,30.5,31,0,0
MCO,-81.31602778,28.42888889,USA,FL,Orlando,Orlando International,31,31,1,0
ABQ,-106.6091944,35.04022222,USA,NM,Albuquerque,Albuquerque International,31.5,32,0,0
MDW,-87.75242444,41.7859825,USA,IL,Chicago,Chicago Midway,32,32,1,0
ABQ,-106.6091944,35.04022222,USA,NM,Albuquerque,Albuquerque International,32.5,33,0,0
MSP,-93.2169225,44.88054694,USA,MN,Minneapolis,Minneapolis-St Paul Intl,33,33,1,0
ABQ,-106.6091944,35.04022222,USA,NM,Albuquerque,Albuquerque International,33.5,34,0,0
OAK,-122.2207167,37.72129083,USA,CA,Oakland,Metropolitan Oakland International,34,34,1,0
ABQ,-106.6091944,35.04022222,USA,NM,Albuquerque,Albuquerque International,34.5,35,0,0
OKC,-97.60073389,35.39308833,USA,OK,Oklahoma City,Will Rogers World,35,35,1,0
ABQ,-106.6091944,35.04022222,USA,NM,Albuquerque,Albuquerque International,35.5,36,0,0
ONT,-117.6011944,34.056,USA,CA,Ontario,Ontario International,36,36,1,0
ABQ,-106.6091944,35.04022222,USA,NM,Albuquerque,Albuquerque International,36.5,37,0,0
ORD,-87.90446417,41.979595,USA,IL,Chicago,Chicago O'Hare International,37,37,1,0
ABQ,-106.6091944,35.04022222,USA,NM,Albuquerque,Albuquerque International,37.5,38,0,0
PDX,-122.5975,45.58872222,USA,OR,Portland,Portland Intl,38,38,1,0
ABQ,-106.6091944,35.04022222,USA,NM,Albuquerque,Albuquerque International,38.5,39,0,0
PHX,-112.0080556,33.43416667,USA,AZ,Phoenix,Phoenix Sky Harbor International,39,39,1,0
ABQ,-106.6091944,35.04022222,USA,NM,Albuquerque,Albuquerque International,39.5,40,0,0
SAN,-117.1896567,32.73355611,USA,CA,San Diego,San Diego International-Lindbergh,40,40,1,0
ABQ,-106.6091944,35.04022222,USA,NM,Albuquerque,Albuquerque International,40.5,41,0,0
SAT,-98.46977778,29.53369444,USA,TX,San Antonio,San Antonio International,41,41,1,0
ABQ,-106.6091944,35.04022222,USA,NM,Albuquerque,Albuquerque International,41.5,42,0,0
SEA,-122.3093131,47.44898194,USA,WA,Seattle,Seattle-Tacoma Intl,42,42,1,0
ABQ,-106.6091944,35.04022222,USA,NM,Albuquerque,Albuquerque International,42.5,43,0,0
SFO,-122.3748433,37.61900194,USA,CA,San Francisco,San Francisco International,43,43,1,0
