IDX,RegionVal,RegionType,ID,Unemployment Rate,Average Earnings,Percent High School Graduate
1,Maine,State,0400000US23,4.6,39162,73
2,Massachusetts,State,0400000US25,4.2,44338,82
3,Michigan,State,0400000US26,4.6,54280,81
4,Montana,State,0400000US30,5.1,34869,80
5,Nevada,State,0400000US32,3.3,56257,87
6,New Jersey,State,0400000US34,5.8,39122,78
7,New York,State,0400000US36,4.3,43313,73
8,North Carolina,State,0400000US37,3.4,55224,89
9,Ohio,State,0400000US39,3.8,37803,81
10,Pennsylvania,State,0400000US42,2.4,41454,72
11,Rhode Island,State,0400000US44,4.7,34319,73
12,Tennessee,State,0400000US47,5.6,47941,80
13,Texas,State,0400000US48,5.3,47603,72
14,Utah,State,0400000US49,4.4,34607,76
15,Washington,State,0400000US53,4.9,34857,82
16,Wisconsin,State,0400000US55,2.7,54522,79
17,Puerto Rico,State,0400000US72,4.6,48266,87
18,Maryland,State,0400000US24,4,48049,88
19,Alabama,State,0400000US01,5.5,57053,86
20,Alaska,State,0400000US02,3.6,38066,85
21,Arizona,State,0400000US04,5.9,33216,77
22,Arkansas,State,0400000US05,4.1,44706,89
23,California,State,0400000US06,3.1,49440,79
24,Colorado,State,0400000US08,2.2,41446,86
25,Connecticut,State,0400000US09,3.2,35095,83
26,Delaware,State,0400000US10,4.6,32472,73
27,District of Columbia,State,0400000US11,5.9,50136,73
28,Florida,State,0400000US12,3.1,38282,83
29,Georgia,State,0400000US13,5.7,46069,86
30,Hawaii,State,0400000US15,4.6,51553,77
31,Idaho,State,0400000US16,3.2,41199,86
32,Illinois,State,0400000US17,5.2,50457,89
33,Indiana,State,0400000US18,2.4,56821,85
34,Iowa,State,0400000US19,2.6,46589,85
35,Kansas,State,0400000US20,5.7,50888,78
36,Kentucky,State,0400000US21,2.2,54904,72
37,Louisiana,State,0400000US22,3.7,48906,84
38,Minnesota,State,0400000US27,2.8,54290,80
39,Mississippi,State,0400000US28,2.2,50045,74
40,Missouri,State,0400000US29,4.8,30241,76
41,Nebraska,State,0400000US31,4.2,32186,83
42,New Hampshire,State,0400000US33,5.9,52465,80
43,New Mexico,State,0400000US35,4.6,55660,72
44,North Dakota,State,0400000US38,3.4,46654,75
45,Oklahoma,State,0400000US40,2.5,56490,86
46,Oregon,State,0400000US41,4.9,55324,88
47,South Carolina,State,0400000US45,4.5,53139,73
48,South Dakota,State,0400000US46,3.2,39216,72
